iter	Passed	Remaining
0	67	67238
1	114	57069
2	152	50757
3	190	47558
4	228	45429
5	278	46143
6	321	45619
7	359	44565
8	396	43660
9	435	43112
10	480	43161
11	530	43689
12	578	43883
13	631	44505
14	681	44743
15	734	45177
16	779	45078
17	822	44861
18	880	45474
19	927	45429
20	965	45016
21	1006	44757
22	1058	44978
23	1103	44860
24	1149	44823
25	1201	44993
26	1257	45308
27	1304	45272
28	1346	45093
29	1390	44944
30	1433	44821
31	1484	44913
32	1538	45081
33	1591	45229
34	1646	45408
35	1691	45295
36	1742	45355
37	1791	45352
38	1834	45214
39	1890	45363
40	1939	45368
41	1988	45354
42	2038	45369
43	2089	45401
44	2134	45304
45	2186	45337
46	2236	45345
47	2287	45361
48	2338	45379
49	2386	45348
50	2439	45386
51	2482	45265
52	2526	45149
53	2575	45117
54	2625	45113
55	2673	45061
56	2724	45081
57	2776	45093
58	2826	45079
59	2879	45106
60	2930	45116
61	2974	44994
62	3025	45002
63	3069	44893
64	3124	44945
65	3171	44875
66	3227	44946
67	3267	44788
68	3309	44650
69	3359	44634
70	3410	44623
71	3454	44527
72	3504	44503
73	3542	44329
74	3590	44285
75	3628	44118
76	3665	43941
77	3716	43928
78	3762	43864
79	3806	43772
80	3841	43583
81	3893	43584
82	3936	43496
83	3975	43347
84	4028	43360
85	4078	43343
86	4129	43338
87	4174	43265
88	4223	43228
89	4259	43063
90	4307	43028
91	4357	43011
92	4394	42854
93	4443	42827
94	4492	42799
95	4540	42758
96	4591	42739
97	4646	42769
98	4698	42760
99	4742	42683
100	4795	42685
101	4845	42661
102	4895	42635
103	4945	42608
104	4995	42584
105	5043	42536
106	5098	42552
107	5137	42428
108	5187	42405
109	5239	42393
110	5282	42310
111	5325	42224
112	5375	42198
113	5426	42175
114	5470	42097
115	5514	42024
116	5563	41990
117	5608	41918
118	5652	41850
119	5689	41724
120	5740	41705
121	5791	41682
122	5835	41604
123	5885	41580
124	5931	41521
125	5974	41444
126	6017	41363
127	6068	41339
128	6104	41215
129	6152	41177
130	6200	41132
131	6250	41098
132	6293	41026
133	6342	40990
134	6394	40972
135	6444	40943
136	6481	40828
137	6518	40717
138	6563	40655
139	6609	40598
140	6661	40585
141	6712	40561
142	6750	40457
143	6802	40435
144	6845	40366
145	6893	40324
146	6948	40320
147	6986	40220
148	7034	40176
149	7086	40156
150	7136	40127
151	7188	40104
152	7235	40054
153	7282	40008
154	7319	39902
155	7363	39840
156	7410	39789
157	7455	39729
158	7502	39680
159	7539	39580
160	7589	39551
161	7636	39500
162	7678	39431
163	7733	39421
164	7786	39402
165	7838	39380
166	7883	39324
167	7934	39296
168	7970	39192
169	8021	39164
170	8070	39127
171	8119	39086
172	8158	38998
173	8210	38976
174	8259	38938
175	8311	38911
176	8359	38868
177	8394	38763
178	8437	38701
179	8486	38660
180	8531	38603
181	8577	38552
182	8633	38543
183	8683	38508
184	8727	38449
185	8775	38403
186	8831	38393
187	8883	38368
188	8935	38342
189	8980	38287
190	9028	38241
191	9075	38192
192	9113	38104
193	9151	38021
194	9195	37959
195	9240	37903
196	9283	37839
197	9333	37805
198	9384	37775
199	9436	37747
200	9473	37658
201	9517	37597
202	9564	37551
203	9611	37503
204	9652	37432
205	9702	37395
206	9748	37346
207	9793	37291
208	9844	37258
209	9890	37208
210	9936	37155
211	9988	37128
212	10040	37097
213	10086	37046
214	10137	37012
215	10179	36949
216	10229	36910
217	10279	36873
218	10316	36789
219	10367	36756
220	10411	36700
221	10455	36641
222	10505	36605
223	10547	36540
224	10597	36503
225	10641	36444
226	10693	36414
227	10743	36378
228	10779	36292
229	10818	36219
230	10859	36150
231	10906	36102
232	10951	36051
233	10991	35980
234	11036	35927
235	11080	35871
236	11125	35817
237	11176	35782
238	11214	35707
239	11259	35655
240	11310	35620
241	11348	35545
242	11400	35516
243	11446	35465
244	11487	35399
245	11542	35377
246	11586	35321
247	11638	35289
248	11681	35233
249	11719	35158
250	11764	35107
251	11801	35030
252	11839	34957
253	11878	34887
254	11918	34820
255	11955	34746
256	11994	34675
257	12031	34603
258	12071	34537
259	12110	34467
260	12164	34441
261	12216	34410
262	12259	34355
263	12313	34328
264	12360	34281
265	12398	34211
266	12452	34185
267	12498	34136
268	12537	34070
269	12583	34021
270	12623	33956
271	12661	33889
272	12700	33820
273	12743	33766
274	12796	33735
275	12832	33661
276	12876	33608
277	12923	33564
278	12962	33497
279	13009	33452
280	13053	33400
281	13096	33346
282	13135	33278
283	13173	33211
284	13211	33144
285	13249	33077
286	13300	33042
287	13336	32970
288	13374	32903
289	13413	32839
290	13452	32775
291	13493	32716
292	13530	32649
293	13570	32587
294	13610	32527
295	13665	32502
296	13703	32436
297	13740	32367
298	13784	32316
299	13821	32250
300	13858	32182
301	13895	32115
302	13935	32056
303	13977	32000
304	14014	31933
305	14051	31869
306	14088	31802
307	14127	31740
308	14165	31677
309	14201	31610
310	14238	31544
311	14276	31480
312	14314	31417
313	14351	31353
314	14388	31290
315	14435	31246
316	14481	31201
317	14519	31139
318	14559	31082
319	14604	31035
320	14642	30973
321	14683	30916
322	14721	30856
323	14767	30812
324	14807	30753
325	14846	30695
326	14885	30635
327	14923	30575
328	14963	30518
329	15000	30456
330	15041	30401
331	15080	30342
332	15119	30284
333	15158	30227
334	15209	30191
335	15246	30129
336	15284	30069
337	15323	30012
338	15362	29955
339	15401	29897
340	15439	29838
341	15483	29789
342	15520	29728
343	15557	29667
344	15600	29619
345	15637	29558
346	15680	29508
347	15724	29461
348	15762	29401
349	15801	29344
350	15837	29283
351	15874	29223
352	15914	29168
353	15953	29113
354	16003	29076
355	16040	29017
356	16078	28958
357	16116	28901
358	16155	28846
359	16194	28790
360	16232	28732
361	16271	28676
362	16310	28622
363	16348	28565
364	16388	28511
365	16426	28454
366	16472	28411
367	16513	28359
368	16552	28304
369	16591	28250
370	16631	28197
371	16671	28143
372	16716	28099
373	16754	28044
374	16792	27987
375	16838	27945
376	16878	27892
377	16917	27838
378	16957	27784
379	16997	27732
380	17034	27675
381	17073	27621
382	17111	27565
383	17148	27509
384	17185	27452
385	17224	27397
386	17261	27342
387	17299	27286
388	17335	27229
389	17372	27172
390	17409	27116
391	17446	27059
392	17483	27004
393	17522	26950
394	17562	26899
395	17601	26846
396	17649	26807
397	17687	26753
398	17726	26701
399	17763	26645
400	17801	26591
401	17838	26535
402	17876	26481
403	17921	26438
404	17959	26385
405	17998	26333
406	18036	26279
407	18075	26227
408	18115	26176
409	18154	26124
410	18201	26085
411	18239	26031
412	18279	25981
413	18319	25930
414	18356	25876
415	18394	25822
416	18432	25769
417	18470	25716
418	18515	25673
419	18555	25623
420	18593	25571
421	18631	25518
422	18669	25466
423	18707	25413
424	18751	25369
425	18788	25316
426	18826	25264
427	18870	25219
428	18908	25167
429	18947	25116
430	18987	25067
431	19024	25013
432	19062	24961
433	19099	24908
434	19136	24854
435	19183	24815
436	19219	24761
437	19259	24712
438	19299	24663
439	19339	24614
440	19378	24563
441	19416	24512
442	19461	24469
443	19498	24416
444	19537	24367
445	19575	24315
446	19614	24265
447	19653	24215
448	19691	24165
449	19730	24115
450	19768	24064
451	19806	24013
452	19843	23961
453	19883	23912
454	19922	23863
455	19970	23824
456	20009	23774
457	20047	23724
458	20094	23683
459	20138	23641
460	20194	23611
461	20232	23560
462	20270	23509
463	20308	23460
464	20345	23408
465	20390	23365
466	20436	23324
467	20474	23274
468	20513	23225
469	20552	23176
470	20589	23125
471	20629	23076
472	20675	23035
473	20715	22987
474	20762	22948
475	20801	22898
476	20838	22848
477	20876	22798
478	20915	22749
479	20953	22699
480	20991	22649
481	21030	22601
482	21068	22551
483	21106	22501
484	21154	22462
485	21192	22413
486	21228	22362
487	21266	22311
