iter	Logloss	Accuracy
0	0.6620084568	0.8053892216
1	0.6389743097	0.8053892216
2	0.6194656738	0.8053892216
3	0.6029474407	0.7874251497
4	0.5849652776	0.7874251497
5	0.5700603188	0.8053892216
6	0.5574788533	0.8053892216
7	0.5468923146	0.8053892216
8	0.5410183661	0.8053892216
9	0.5323708357	0.8053892216
10	0.5269967724	0.8053892216
11	0.5208705514	0.8053892216
12	0.5155312544	0.8053892216
13	0.5119218655	0.8053892216
14	0.5054081443	0.8053892216
15	0.4986481809	0.8053892216
16	0.4938837839	0.8053892216
17	0.4896057494	0.8053892216
18	0.4800848133	0.8053892216
19	0.4765530889	0.8053892216
20	0.4724283732	0.8053892216
21	0.4698876935	0.8053892216
22	0.4642338096	0.8053892216
23	0.4613706395	0.8053892216
24	0.4593239973	0.8053892216
25	0.457851113	0.8053892216
26	0.4528738239	0.8053892216
27	0.4510575711	0.8053892216
28	0.4493991144	0.8083832335
29	0.448566551	0.8083832335
30	0.4467968056	0.8098802395
31	0.4446163977	0.8098802395
32	0.4432641675	0.8098802395
33	0.4420720631	0.8098802395
34	0.4409183342	0.8098802395
35	0.4399234064	0.8098802395
36	0.4395807689	0.8098802395
37	0.4388551998	0.8113772455
38	0.4377736074	0.8113772455
39	0.4335963084	0.8113772455
40	0.4324496149	0.8128742515
41	0.4301567306	0.8113772455
42	0.4273426718	0.8113772455
43	0.4264108806	0.8113772455
44	0.4259923147	0.8113772455
45	0.4255285206	0.8113772455
46	0.4249036412	0.8113772455
47	0.4244727403	0.8113772455
48	0.4240556363	0.8113772455
49	0.4227492281	0.8113772455
50	0.4221244401	0.8113772455
51	0.4219665527	0.8113772455
52	0.4214701396	0.8113772455
53	0.4210784364	0.8113772455
54	0.4200619452	0.8113772455
55	0.4200577879	0.8113772455
56	0.4187198114	0.8113772455
57	0.4183215295	0.8113772455
58	0.4179080346	0.8098802395
59	0.4165029012	0.8113772455
60	0.4155990692	0.8113772455
61	0.4155971047	0.8113772455
62	0.4143808787	0.8113772455
63	0.414181281	0.8113772455
64	0.4135059654	0.8128742515
65	0.4128901773	0.8128742515
66	0.4127370869	0.8113772455
67	0.4118380975	0.8128742515
68	0.4111443251	0.8113772455
69	0.4101606814	0.8143712575
70	0.4094835841	0.8143712575
71	0.4094835384	0.8143712575
72	0.4094834927	0.8143712575
73	0.4094351123	0.8128742515
74	0.4094350666	0.8128742515
75	0.4092994279	0.8143712575
76	0.4092993822	0.8143712575
77	0.408980638	0.8128742515
78	0.4088746488	0.8128742515
79	0.4086028687	0.8128742515
80	0.4079441368	0.8128742515
81	0.4076487832	0.8128742515
82	0.4071249591	0.8128742515
83	0.406675236	0.8143712575
84	0.4051711031	0.8143712575
85	0.4049186478	0.8128742515
86	0.404475412	0.8143712575
87	0.4044035952	0.8128742515
88	0.4044035952	0.8128742515
89	0.4043772806	0.8128742515
90	0.4041403582	0.8128742515
91	0.4041403125	0.8128742515
92	0.4041398557	0.8128742515
93	0.4041398557	0.8128742515
94	0.4038315276	0.8128742515
95	0.4035893514	0.8128742515
96	0.4033594189	0.8128742515
97	0.4033322363	0.8143712575
98	0.4033322363	0.8143712575
99	0.4033087085	0.8143712575
100	0.402980873	0.8128742515
101	0.4029446905	0.8128742515
102	0.402793199	0.8143712575
103	0.4026107331	0.8143712575
104	0.4024554955	0.8158682635
105	0.4022670906	0.8143712575
106	0.4016713125	0.8173652695
107	0.4016600283	0.8158682635
108	0.4016600283	0.8158682635
109	0.4016026023	0.8173652695
110	0.4014616184	0.8173652695
111	0.4014438469	0.8173652695
112	0.4013034112	0.8203592814
113	0.4012573608	0.8203592814
114	0.4012469903	0.8203592814
115	0.4012380817	0.8188622754
116	0.4012009855	0.8203592814
117	0.4007270493	0.8218562874
118	0.3996761573	0.8203592814
119	0.3995171735	0.8188622754
120	0.3994814936	0.8188622754
121	0.3994238848	0.8203592814
122	0.3994174432	0.8203592814
123	0.3993063373	0.8203592814
124	0.3992282159	0.8203592814
125	0.3987965841	0.8218562874
126	0.398791376	0.8218562874
127	0.398791376	0.8218562874
128	0.3987866704	0.8218562874
129	0.3987867161	0.8218562874
130	0.3987866704	0.8218562874
131	0.3980610556	0.8218562874
132	0.3980084265	0.8218562874
133	0.3977697681	0.8248502994
134	0.3972265735	0.8248502994
135	0.3972208172	0.8248502994
136	0.397104092	0.8248502994
137	0.397099021	0.8248502994
138	0.3970946352	0.8248502994
139	0.396811708	0.8248502994
140	0.396811708	0.8248502994
